ward,year,specimen_type,organism_clean,antibiotic_canon,n_S,n_I,n_R,n_tested,pct_S,pct_I,pct_R,pct_nonS
ATI,2020,blood,acinetobacter baumannii,amikacin,1,0,9,10,0.1,0.0,0.9,0.9
ATI,2020,blood,acinetobacter baumannii,ampicillin,4,2,5,11,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.6363636363636364
ATI,2020,blood,acinetobacter baumannii,ampicillin_sulbactam,4,2,5,11,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.6363636363636364
ATI,2020,blood,acinetobacter baumannii,cefepime,0,4,5,9,0.0,0.4444444444444444,0.5555555555555556,1.0
ATI,2020,blood,acinetobacter baumannii,cefoperazone_sulbactam,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,acinetobacter baumannii,cefotaxime,0,1,10,11,0.0,0.09090909090909091,0.9090909090909091,1.0
ATI,2020,blood,acinetobacter baumannii,ceftazidime,0,0,11,11,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter baumannii,ceftriaxone,0,1,9,10,0.0,0.1,0.9,1.0
ATI,2020,blood,acinetobacter baumannii,cefuroxime,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter baumannii,ciprofloxacin,0,0,4,4,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter baumannii,colistin,10,0,0,10,1.0,0.0,0.0,0.0
ATI,2020,blood,acinetobacter baumannii,gentamicin,1,0,10,11,0.09090909090909091,0.0,0.9090909090909091,0.9090909090909091
ATI,2020,blood,acinetobacter baumannii,imipenem_cilastatin,0,0,5,5,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter baumannii,levofloxacin,0,0,7,7,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter baumannii,meropenem,0,0,11,11,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter baumannii,netilmicin,1,0,3,4,0.25,0.0,0.75,0.75
ATI,2020,blood,acinetobacter baumannii,ofloxacin,0,0,11,11,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter baumannii,piperacillin,0,0,10,10,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter baumannii,piperacillin_tazobactam,0,0,10,10,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter baumannii,tigecycline,5,0,5,10,0.5,0.0,0.5,0.5
ATI,2020,blood,acinetobacter baumannii,tobramycin,2,0,6,8,0.25,0.0,0.75,0.75
ATI,2020,blood,acinetobacter baumannii,trimethoprim_sulfamethoxazole,1,0,6,7,0.14285714285714285,0.0,0.8571428571428571,0.8571428571428571
ATI,2020,blood,acinetobacter spp.,amikacin,0,0,11,11,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,ampicillin,4,2,4,10,0.4,0.2,0.4,0.6
ATI,2020,blood,acinetobacter spp.,ampicillin_sulbactam,4,2,4,10,0.4,0.2,0.4,0.6
ATI,2020,blood,acinetobacter spp.,cefepime,1,2,8,11,0.09090909090909091,0.18181818181818182,0.7272727272727273,0.9090909090909091
ATI,2020,blood,acinetobacter spp.,cefoperazone_sulbactam,3,1,0,4,0.75,0.25,0.0,0.25
ATI,2020,blood,acinetobacter spp.,cefotaxime,0,0,11,11,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,ceftazidime,0,0,12,12,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,ceftriaxone,0,0,10,10,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,cefuroxime,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,ciprofloxacin,0,0,6,6,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,colistin,11,0,0,11,1.0,0.0,0.0,0.0
ATI,2020,blood,acinetobacter spp.,ertapenem,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,gentamicin,0,0,10,10,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,imipenem_cilastatin,0,0,6,6,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,levofloxacin,0,0,7,7,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,meropenem,0,1,10,11,0.0,0.09090909090909091,0.9090909090909091,1.0
ATI,2020,blood,acinetobacter spp.,netilmicin,0,0,7,7,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,ofloxacin,0,0,12,12,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,piperacillin,0,0,12,12,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,piperacillin_tazobactam,0,0,12,12,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,tigecycline,8,2,1,11,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.2727272727272727
