file,sheet,ward,year,half,period_start,period_end,header_text,specimen_raw,organism_raw,n_antibiograme_header,issue
ATI_2022_H1.xlsx,Sheet1,ATI,2022,H1,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Amfotericina B (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Amfotericina B,1,organism_missing_or_is_antibiotic
ATI_2022_H1.xlsx,Sheet1,ATI,2022,H1,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Anidulafungin (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Anidulafungin,1,organism_missing_or_is_antibiotic
ATI_2022_H1.xlsx,Sheet1,ATI,2022,H1,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Caspofungin (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Caspofungin,1,organism_missing_or_is_antibiotic
ATI_2022_H1.xlsx,Sheet1,ATI,2022,H1,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Fluconazol (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Fluconazol,1,organism_missing_or_is_antibiotic
ATI_2022_H1.xlsx,Sheet1,ATI,2022,H1,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Itraconazol (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Itraconazol,1,organism_missing_or_is_antibiotic
ATI_2022_H1.xlsx,Sheet1,ATI,2022,H1,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Micafungin (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Micafungin,1,organism_missing_or_is_antibiotic
ATI_2022_H1.xlsx,Sheet1,ATI,2022,H1,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Posaconazol (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Posaconazol,1,organism_missing_or_is_antibiotic
ATI_2022_H1.xlsx,Sheet1,ATI,2022,H1,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Voriconazol (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Voriconazol,1,organism_missing_or_is_antibiotic
ATI_2023_H2.xlsx,Sheet1,ATI,2023,H2,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Amikacin (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Amikacin,1,organism_missing_or_is_antibiotic
ATI_2023_H2.xlsx,Sheet1,ATI,2023,H2,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Amoxicillin / Ac. Clavulanic (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Amoxicillin / Ac. Clavulanic,1,organism_missing_or_is_antibiotic
ATI_2023_H2.xlsx,Sheet1,ATI,2023,H2,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Ampicillin (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Ampicillin,1,organism_missing_or_is_antibiotic
ATI_2023_H2.xlsx,Sheet1,ATI,2023,H2,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Cefepime (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Cefepime,1,organism_missing_or_is_antibiotic
ATI_2023_H2.xlsx,Sheet1,ATI,2023,H2,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Cefotaxime (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Cefotaxime,1,organism_missing_or_is_antibiotic
ATI_2023_H2.xlsx,Sheet1,ATI,2023,H2,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Ceftazidime (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Ceftazidime,1,organism_missing_or_is_antibiotic
ATI_2023_H2.xlsx,Sheet1,ATI,2023,H2,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Ceftazidime-Avibactam (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Ceftazidime-Avibactam,1,organism_missing_or_is_antibiotic
ATI_2023_H2.xlsx,Sheet1,ATI,2023,H2,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Cefuroxime (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Cefuroxime,1,organism_missing_or_is_antibiotic
