abx_code,generic_name_en,abx_canon
AMK_IV,amikacin,amikacin
GEN_IV,gentamicin,gentamicin
TOB_IV,tobramycin,tobramycin
NET_IV,netilmicin,netilmicin
AMP_IV,ampicillin,ampicillin
AMX_PO,amoxicillin,amoxicillin
PEN_G_IV,penicillin G,penicillin_g
OXA_IV,oxacillin,oxacillin
PIP_IV,piperacillin,piperacillin
TIC_IV,ticarcillin,ticarcillin
AMC1G_PO,amoxicillin/clavulanate,amoxicillin_clavulanate
SAM_IV,ampicillin/sulbactam,ampicillin_sulbactam
TZP_IV,piperacillin/tazobactam,piperacillin_tazobactam
TCC_IV,ticarcillin/clavulanate,ticarcillin_clavulanate
CZL_IV,cefazolin,cefazolin
CXM_IV,cefuroxime,cefuroxime
CXM_PO,cefuroxime axetil,cefuroxime_axetil
CRO_IV,ceftriaxone,ceftriaxone
CTX_IV,cefotaxime,cefotaxime
CAZ_IV,ceftazidime,ceftazidime
FEP_IV,cefepime,cefepime
CFM_PO,cefixime,cefixime
CXL_PO,cephalexin,cephalexin
IPM_IV,imipenem/cilastatin,imipenem_cilastatin
MEM_IV,meropenem,meropenem
ETP_IV,ertapenem,ertapenem
CIP_IV,ciprofloxacin,ciprofloxacin
CIP_PO,ciprofloxacin,ciprofloxacin
LEV_PO,levofloxacin,levofloxacin
LEV_IV,levofloxacin,levofloxacin
MXF_PO,moxifloxacin,moxifloxacin
MXF_IV,moxifloxacin,moxifloxacin
NOR_PO,norfloxacin,norfloxacin
OFL_PO,ofloxacin,ofloxacin
AZM_PO,azithromycin,azithromycin
CLR_PO,clarithromycin,clarithromycin
CLR_IV,clarithromycin,clarithromycin
ERY_PO,erythromycin,erythromycin
CLI_IV,clindamycin,clindamycin
LZD_PO,linezolid,linezolid
LZD_IV,linezolid,linezolid
VAN_IV,vancomycin,vancomycin
VAN_PO,vancomycin,vancomycin
TEI_IV,teicoplanin,teicoplanin
DOX_PO,doxycycline,doxycycline
MIN_PO,minocycline,minocycline
TET_PO,tetracycline,tetracycline
TGC_IV,tigecycline,tigecycline
MTZ_PO,metronidazole,metronidazole
MTZ_IV,metronidazole,metronidazole
RIF_PO,rifampicin,rifampicin
CHL_PO,chloramphenicol,chloramphenicol
FOS_PO,fosfomycin,fosfomycin
NIT_PO,nitrofurantoin,nitrofurantoin
COL_IV,colistin,colistin
NO_ANTIBIOTIC,NO_ANTIBIOTIC,NO_ANTIBIOTIC
