outcome,variable,missing_n,n_before_dropna,n_complete_case,dropped_n,events,note
llm_improved_guardrail,MDR_RISK,0,493,493,0,79,missing counted before complete-case drop (model N/events repeated for readability)
llm_improved_guardrail,SEVERE,0,493,493,0,79,missing counted before complete-case drop (model N/events repeated for readability)
llm_improved_guardrail,__MODEL__,0,493,493,0,79,complete-case sample used for modeling
llm_improved_guardrail,admitting_ward_IM,0,493,493,0,79,missing counted before complete-case drop (model N/events repeated for readability)
llm_improved_guardrail,age_years,0,493,493,0,79,missing counted before complete-case drop (model N/events repeated for readability)
llm_improved_guardrail,llm_improved_guardrail,0,493,493,0,79,missing counted before complete-case drop (model N/events repeated for readability)
llm_improved_guardrail,home_abx_before_hosp,0,493,493,0,79,missing counted before complete-case drop (model N/events repeated for readability)
llm_improved_guardrail,sex_male,0,493,493,0,79,missing counted before complete-case drop (model N/events repeated for readability)
llm_improved_guardrail,viral_screening_pozitive,0,493,493,0,79,missing counted before complete-case drop (model N/events repeated for readability)
nonzero_delta_guardrail,MDR_RISK,0,493,493,0,95,missing counted before complete-case drop (model N/events repeated for readability)
nonzero_delta_guardrail,SEVERE,0,493,493,0,95,missing counted before complete-case drop (model N/events repeated for readability)
nonzero_delta_guardrail,__MODEL__,0,493,493,0,95,complete-case sample used for modeling
nonzero_delta_guardrail,admitting_ward_IM,0,493,493,0,95,missing counted before complete-case drop (model N/events repeated for readability)
nonzero_delta_guardrail,age_years,0,493,493,0,95,missing counted before complete-case drop (model N/events repeated for readability)
nonzero_delta_guardrail,nonzero_delta_guardrail,0,493,493,0,95,missing counted before complete-case drop (model N/events repeated for readability)
nonzero_delta_guardrail,home_abx_before_hosp,0,493,493,0,95,missing counted before complete-case drop (model N/events repeated for readability)
nonzero_delta_guardrail,sex_male,0,493,493,0,95,missing counted before complete-case drop (model N/events repeated for readability)
nonzero_delta_guardrail,viral_screening_pozitive,0,493,493,0,95,missing counted before complete-case drop (model N/events repeated for readability)
